62,[Errno 104] Connection reset by peer
16650,(502, u'Proxy Error')
38483,(503, u'Service Temporarily Unavailable')
38494,(503, u'Service Temporarily Unavailable')
38517,(503, u'Service Temporarily Unavailable')
38542,(503, u'Service Temporarily Unavailable')
38547,(503, u'Service Temporarily Unavailable')
38568,(503, u'Service Temporarily Unavailable')
38609,(503, u'Service Temporarily Unavailable')
38629,(503, u'Service Temporarily Unavailable')
38652,(503, u'Service Temporarily Unavailable')
38661,(503, u'Service Temporarily Unavailable')
38671,(503, u'Service Temporarily Unavailable')
38690,(503, u'Service Temporarily Unavailable')
38705,(503, u'Service Temporarily Unavailable')
38715,(503, u'Service Temporarily Unavailable')
38723,(503, u'Service Temporarily Unavailable')
38758,(503, u'Service Temporarily Unavailable')
38780,(503, u'Service Temporarily Unavailable')
38792,(503, u'Service Temporarily Unavailable')
38813,(503, u'Service Temporarily Unavailable')
38826,(503, u'Service Temporarily Unavailable')
38842,(503, u'Service Temporarily Unavailable')
38857,(503, u'Service Temporarily Unavailable')
38871,(503, u'Service Temporarily Unavailable')
38892,(503, u'Service Temporarily Unavailable')
38905,(503, u'Service Temporarily Unavailable')
38918,(503, u'Service Temporarily Unavailable')
38940,(503, u'Service Temporarily Unavailable')
38971,(503, u'Service Temporarily Unavailable')
38990,(503, u'Service Temporarily Unavailable')
39015,(503, u'Service Temporarily Unavailable')
39028,(503, u'Service Temporarily Unavailable')
39041,(503, u'Service Temporarily Unavailable')
39058,(503, u'Service Temporarily Unavailable')
39084,(503, u'Service Temporarily Unavailable')
39097,(503, u'Service Temporarily Unavailable')
39115,(503, u'Service Temporarily Unavailable')
39134,(503, u'Service Temporarily Unavailable')
39143,(503, u'Service Temporarily Unavailable')
39172,(503, u'Service Temporarily Unavailable')
39195,(503, u'Service Temporarily Unavailable')
39203,(503, u'Service Temporarily Unavailable')
61088,(502, u'Proxy Error')
73952,[Errno 104] Connection reset by peer
83618,(502, u'Proxy Error')
100549,(502, u'Proxy Error')
116629,[Errno 104] Connection reset by peer
121512,(502, u'Proxy Error')
143490,(502, u'Proxy Error')
166771,(502, u'Proxy Error')
181571,[Errno 104] Connection reset by peer
189204,(503, u'Service Temporarily Unavailable')
189221,(503, u'Service Temporarily Unavailable')
189234,(503, u'Service Temporarily Unavailable')
189250,(503, u'Service Temporarily Unavailable')
189263,(503, u'Service Temporarily Unavailable')
189297,(503, u'Service Temporarily Unavailable')
189306,(503, u'Service Temporarily Unavailable')
189336,(503, u'Service Temporarily Unavailable')
189356,(503, u'Service Temporarily Unavailable')
189375,(503, u'Service Temporarily Unavailable')
189388,(503, u'Service Temporarily Unavailable')
189424,(503, u'Service Temporarily Unavailable')
189432,(503, u'Service Temporarily Unavailable')
189459,(503, u'Service Temporarily Unavailable')
189473,(503, u'Service Temporarily Unavailable')
189493,(503, u'Service Temporarily Unavailable')
189504,(503, u'Service Temporarily Unavailable')
189520,(503, u'Service Temporarily Unavailable')
189536,(503, u'Service Temporarily Unavailable')
189565,(503, u'Service Temporarily Unavailable')
189600,(503, u'Service Temporarily Unavailable')
189619,(503, u'Service Temporarily Unavailable')
189629,(503, u'Service Temporarily Unavailable')
189637,(503, u'Service Temporarily Unavailable')
189681,(503, u'Service Temporarily Unavailable')
189702,(503, u'Service Temporarily Unavailable')
189707,(503, u'Service Temporarily Unavailable')
189729,(503, u'Service Temporarily Unavailable')
189769,(503, u'Service Temporarily Unavailable')
189794,(503, u'Service Temporarily Unavailable')
189806,(503, u'Service Temporarily Unavailable')
189814,(503, u'Service Temporarily Unavailable')
189819,(503, u'Service Temporarily Unavailable')
189847,(503, u'Service Temporarily Unavailable')
189861,(503, u'Service Temporarily Unavailable')
189877,(503, u'Service Temporarily Unavailable')
189895,(503, u'Service Temporarily Unavailable')
189914,(503, u'Service Temporarily Unavailable')
189925,(503, u'Service Temporarily Unavailable')
189949,(503, u'Service Temporarily Unavailable')
210203,(503, u'Service Temporarily Unavailable')
210224,(503, u'Service Temporarily Unavailable')
210249,(503, u'Service Temporarily Unavailable')
210275,(503, u'Service Temporarily Unavailable')
210303,(503, u'Service Temporarily Unavailable')
210317,(503, u'Service Temporarily Unavailable')
210336,(503, u'Service Temporarily Unavailable')
210349,(503, u'Service Temporarily Unavailable')
210365,(503, u'Service Temporarily Unavailable')
210376,(503, u'Service Temporarily Unavailable')
